Solid Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O 
31 403.23 867.50 17.205048 9.04181 0 2.78533 0 0 0 0 0 0 0 0.188144 1.32388 0.245162 0 86.4157
55 1322.58 785.80 12.875622 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
55 862.90 810.80 16.277691 10.028 0 3.11498 0 0 0 0 0 0 0 0.23 1.47666 0.247201 0 84.9032
48 556.45 834.70 19.677442 17.3061 0 5.31214 0 0 0 0 0 0 0 0.344426 2.54575 0.460025 0 74.0316
56 1016.13 800.00 15.391778 8.13686 0 2.53668 0 0 0 0 0 0 0 0.194162 1.19874 0.195518 0 87.738
56 1475.81 864.00 12.676328 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
49 1169.35 789.10 15.177602 8.47071 0 2.64378 0 0 0 0 0 0 0 0.204619 1.24919 0.200216 0 87.2315
32 403.23 866.50 17.495841 9.97247 0 3.0698 0 0 0 0 0 0 0 0.205678 1.46047 0.270929 0 85.0207
56 862.90 809.80 16.586815 11.0306 0 3.4232 0 0 0 0 0 0 0 0.250335 1.62485 0.272574 0 83.3984
56 1322.58 785.80 12.875622 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
57 1016.13 799.00 15.714728 9.27251 0 2.88766 0 0 0 0 0 0 0 0.218734 1.36658 0.223405 0 86.0311
50 1169.35 788.10 15.510001 9.64046 0 3.0055 0 0 0 0 0 0 0 0.230101 1.4223 0.22851 0 85.4731
57 1475.81 861.00 12.674082 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
